LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
232409,2023-01-20 11:20:25.281700,860996081,0,0.9605153,0.01323345,-0.128867,0.246229
232444,2023-01-20 11:20:25.381709,861096071,0,0.9605826,0.01147107,-0.1289794,0.2459957
232476,2023-01-20 11:20:25.481693,861196067,0,0.9607036,0.009445677,-0.1275343,0.2463625
232513,2023-01-20 11:20:25.581694,861296087,0,0.960915,0.01068266,-0.1242555,0.2471619
232545,2023-01-20 11:20:25.681666,861396072,0,0.9609883,0.0128278,-0.1205529,0.2486042
232577,2023-01-20 11:20:25.781651,861496070,0,0.9605806,0.01520573,-0.1202051,0.250209
232609,2023-01-20 11:20:25.881706,861596093,0,0.9606307,0.01589702,-0.1158082,0.2520409
232640,2023-01-20 11:20:25.981742,861696087,0,0.9607618,0.01899907,-0.1104229,0.2537372
232675,2023-01-20 11:20:26.081729,861796073,0,0.9608487,0.0222181,-0.1092262,0.2536648
232707,2023-01-20 11:20:26.181718,861896071,0,0.9611602,0.02229434,-0.1100195,0.2521302
232739,2023-01-20 11:20:26.281716,861996073,0,0.9608075,0.02384039,-0.1127203,0.2521402
232773,2023-01-20 11:20:26.381720,862096079,0,0.9602122,0.02398111,-0.1151597,0.2532898
232805,2023-01-20 11:20:26.481699,862196073,0,0.96024,0.02446314,-0.1134462,0.2539107
232840,2023-01-20 11:20:26.581683,862296075,0,0.9603457,0.02473144,-0.111221,0.2544688
232872,2023-01-20 11:20:26.681698,862396071,0,0.959847,0.02591468,-0.1130319,0.2554329
232904,2023-01-20 11:20:26.781724,862496071,0,0.9595612,0.02652091,-0.1153308,0.255417
232936,2023-01-20 11:20:26.874359,862596077,0,0.9593945,0.02517077,-0.1180023,0.2549591
232967,2023-01-20 11:20:26.965343,862696085,0,0.9590386,0.02280078,-0.1216058,0.2548279
233002,2023-01-20 11:20:27.061891,862796072,0,0.958821,0.02023908,-0.1246601,0.254387
233033,2023-01-20 11:20:27.161889,862896071,0,0.9588071,0.02039879,-0.1244209,0.2545434
